Comentario,Label
Mala atención al cliente,0
"Todo perfecto, estoy feliz con el resultado.",1
Relación calidad-precio excelente,1
Producto llegó tiempo,1
"Excelente servicio, lo recomiendo totalmente.",1
"Buena calidad, muy recomendable.",1
"Excelente servicio, el envío fue rápido.",1
Me llegó incompleto.,0
"Buena calidad, sin duda volveré a comprar.",1
"Mala atención al cliente, atención deficiente.",0
Mala atención al cliente,0
Relación calidad-precio excelente. Lo recomiendo totalmente.,1
Buena calidad. Lo recomiendo.,1
Relación calidad-precio excelente,1
No volvería comprar,0
"Relación calidad-precio excelente, muy recomendable.",1
Relación calidad-precio excelente,1
Producto llegó a tiempo. Lo recomiendo totalmente.,1
Mala atención al cliente. No cumplió mis expectativas.,0
Mala atención al cliente,0
"Buena calidad, cumplió mis expectativas.",1
"Todo perfecto, sin duda volveré a comprar.",1
"Mala atención al cliente, fue una pérdida de dinero.",0
Excelente servicio. Servicio excelente.,1
Excelente servicio,1
Relación calidad-precio excelente,1
"Relación calidad-precio excelente, lo recomiendo totalmente.",1
Muy mala experiencia,0
Excelente servicio muy recomendable.,1
"Me llegó incompleto, atención deficiente.",0
Buena calidad.,1
Me llegó incompleto. No lo recomendaría.,0
Relación calidad-precio excelente. Muy recomendable.,1
Producto llegó a tiempo,1
Llegó tarde,0
No volvería a comprar No cumplió mis expectativas.,0
Buena calidad. Sin duda volveré a comprar.,1
Mala atención al cliente. No cumplió mis expectativas.,0
Excelente servicio. Servicio excelente.,1
Excelente servicio. El envío fue rápido.,1
Mala atención al cliente,0
Muy satisfecho con mi compra,1
Producto llegó a tiempo El envío fue rápido.,1
Relación calidad-precio excelente. Sin duda volveré a comprar.,1
No era lo que esperaba,0
Buena calidad. Estoy feliz con el resultado.,1
Mala atención al cliente,0
Muy satisfecho con mi compra. Estoy feliz con el resultado.,1
Relación calidad-precio excelente,1
Mala atención al cliente,0
No volvería a comprar No lo recomendaría.,0
Muy mala experiencia.,0
Me llegó incompleto Servicio pésimo.,0
No era lo que esperaba,0
No era lo que esperaba. No cumplió mis expectativas.,0
Llegó tarde. El envío se demoró,0
Producto llegó a tiempo Lo recomiendo totalmente.,1
Muy mala experiencia,0
Mala atención al cliente,0
Muy satisfecho con mi compra. Atención optima.,1
Me llegó incompleto. Atención deficiente.,0
Me llegó incompleto,0
Mala atención al cliente,0
Mala calidad de sus productos,0
Producto llegó a tiempo. Cumplió mis expectativas.,1
Relación calidad-precio excelente. Cumpli mis expectativas.,1
No volveré a comprar. El envío no fue rápido.,0
No volveré a comprar. No lo recomiendo,0
Mala atención al cliente. No cumplió mis expectativas.,0
Relación calidad-precio excelente,1
Relación calidad-precio excelente. Sin duda volvería a comprar.,1
Relación calidad-precio excelente. Cumplió mis expectativas.,1
Muy recomendable.,1
No volvería a comprar,0
Relación calidad-precio excelente. Cumplió mis expectativas.,1
Me llegó incompleto ,0
Buena calidad. Cumplió mis expectativas.,1
Mala atención al cliente,0
Muy satisfecho con mi compra. El envío fue rápido.,1
Me llegó incompleto. Servicio pésimo.,0
No era lo que esperaba. Atencóin deficiente.,0
Todo perfecto. Estoy feliz con el resultado.,1
Mala atención al cliente. Atención deficiente.,0
Buena calidad. El envío fue rápido.,1
Buena calidad.,1
Mala atención al cliente. No cumplió mis expectativas.,0
Producto llegó a tiempo. Muy recomendable.,1
Buena calidad. Servicio excelente.,1
No volveré a comprar. Atención deficiente.,0
No volvería a comprar. El envío se demoró demasiado,0
Buena calidad. Servicio excelente.,1
No era lo que esperaba,0
"Todo perfecto, lo recomiendo totalmente.",1
No era lo que esperaba. El envío tardó mucho.,0
Relación calidad-precio excelente. Muy recomendable.,1
Buena calidad. Atención deficiente.,1
Llegó demasiado tarde,0
Muy mala experiencia,0
Todo perfecto,1
Mala atención al cliente. No cumplió mis expectativas.,0
No era lo que esperaba. Fue una pérdida de dinero.,0
Excelente servicio. Estoy feliz con el resultado.,1
Buena calidad. Lo recomiendo totalmente.,1
Producto llegó a tiempo El envío fue rápido.,1
Llegó tarde. Fue una pérdida de dinero.,0
Relación calidad-precio excelente. Sin duda volveré a comprar.,1
Relación calidad-precio excelente. Muy recomendable.,1
Relación calidad-precio excelente. Lo recomiendo totalmente.,1
Muy mala experiencia. No lo recomiendo,0
No volvería a comprar. Atención deficiente.,0
Muy mala experiencia. Atención deficiente.,0
